target_date,physical_acquisition_id,acquisition_local_date,lag_days
2021-09-08,sentinel-2b|2021-07-17T18:29:19.024000Z|R27|GS2B_20210717T182919_022790,2021-07-17,53
2021-09-08,sentinel-2b|2021-07-27T18:29:19.024000Z|R27|GS2B_20210727T182919_022933,2021-07-27,43
2021-09-08,sentinel-2b|2021-08-06T18:29:19.024000Z|R27|GS2B_20210806T182919_023076,2021-08-06,33
2021-09-08,sentinel-2b|2021-08-16T18:29:19.024000Z|R27|GS2B_20210816T182919_023219,2021-08-16,23
2021-09-08,sentinel-2b|2021-08-26T18:29:19.024000Z|R27|GS2B_20210826T182919_023362,2021-08-26,13
2021-09-24,sentinel-2a|2021-08-01T18:29:21.024000Z|R27|GS2A_20210801T182921_031913,2021-08-01,54
2021-09-24,sentinel-2a|2021-08-11T18:29:21.024000Z|R27|GS2A_20210811T182921_032056,2021-08-11,44
2021-09-24,sentinel-2a|2021-08-21T18:29:21.024000Z|R27|GS2A_20210821T182921_032199,2021-08-21,34
2021-09-24,sentinel-2a|2021-08-31T18:29:21.024000Z|R27|GS2A_20210831T182921_032342,2021-08-31,24
2021-09-24,sentinel-2a|2021-09-10T18:29:21.024000Z|R27|GS2A_20210910T182921_032485,2021-09-10,14
2021-09-24,sentinel-2a|2021-09-20T18:30:41.024000Z|R27|GS2A_20210920T183041_032628,2021-09-20,4
2021-09-24,sentinel-2b|2021-07-27T18:29:19.024000Z|R27|GS2B_20210727T182919_022933,2021-07-27,59
2021-09-24,sentinel-2b|2021-08-06T18:29:19.024000Z|R27|GS2B_20210806T182919_023076,2021-08-06,49
2021-09-24,sentinel-2b|2021-08-16T18:29:19.024000Z|R27|GS2B_20210816T182919_023219,2021-08-16,39
2021-09-24,sentinel-2b|2021-08-26T18:29:19.024000Z|R27|GS2B_20210826T182919_023362,2021-08-26,29
2021-09-24,sentinel-2b|2021-09-15T18:29:19.024000Z|R27|GS2B_20210915T182919_023648,2021-09-15,9
2021-10-10,sentinel-2a|2021-08-11T18:29:21.024000Z|R27|GS2A_20210811T182921_032056,2021-08-11,60
2021-10-10,sentinel-2a|2021-08-21T18:29:21.024000Z|R27|GS2A_20210821T182921_032199,2021-08-21,50
2021-10-10,sentinel-2a|2021-08-31T18:29:21.024000Z|R27|GS2A_20210831T182921_032342,2021-08-31,40
2021-10-10,sentinel-2a|2021-09-10T18:29:21.024000Z|R27|GS2A_20210910T182921_032485,2021-09-10,30
2021-10-10,sentinel-2a|2021-09-20T18:30:41.024000Z|R27|GS2A_20210920T183041_032628,2021-09-20,20
2021-10-10,sentinel-2a|2021-09-30T18:31:51.024000Z|R27|GS2A_20210930T183151_032771,2021-09-30,10
2021-10-10,sentinel-2b|2021-08-16T18:29:19.024000Z|R27|GS2B_20210816T182919_023219,2021-08-16,55
2021-10-10,sentinel-2b|2021-08-26T18:29:19.024000Z|R27|GS2B_20210826T182919_023362,2021-08-26,45
2021-10-10,sentinel-2b|2021-09-15T18:29:19.024000Z|R27|GS2B_20210915T182919_023648,2021-09-15,25
2021-10-10,sentinel-2b|2021-09-25T18:30:19.024000Z|R27|GS2B_20210925T183019_023791,2021-09-25,15
2021-10-10,sentinel-2b|2021-10-05T18:31:39.024000Z|R27|GS2B_20211005T183139_023934,2021-10-05,5
2021-10-26,sentinel-2a|2021-08-31T18:29:21.024000Z|R27|GS2A_20210831T182921_032342,2021-08-31,56
2021-10-26,sentinel-2a|2021-09-10T18:29:21.024000Z|R27|GS2A_20210910T182921_032485,2021-09-10,46
2021-10-26,sentinel-2a|2021-09-20T18:30:41.024000Z|R27|GS2A_20210920T183041_032628,2021-09-20,36
2021-10-26,sentinel-2a|2021-09-30T18:31:51.024000Z|R27|GS2A_20210930T183151_032771,2021-09-30,26
2021-10-26,sentinel-2a|2021-10-10T18:33:11.024000Z|R27|GS2A_20211010T183311_032914,2021-10-10,16
2021-10-26,sentinel-2a|2021-10-20T18:34:11.024000Z|R27|GS2A_20211020T183411_033057,2021-10-20,6
2021-10-26,sentinel-2b|2021-09-15T18:29:19.024000Z|R27|GS2B_20210915T182919_023648,2021-09-15,41
2021-10-26,sentinel-2b|2021-09-25T18:30:19.024000Z|R27|GS2B_20210925T183019_023791,2021-09-25,31
2021-10-26,sentinel-2b|2021-10-05T18:31:39.024000Z|R27|GS2B_20211005T183139_023934,2021-10-05,21
2021-10-26,sentinel-2b|2021-10-15T18:33:39.024000Z|R27|GS2B_20211015T183339_024077,2021-10-15,11
2021-10-26,sentinel-2b|2021-10-25T18:34:39.024000Z|R27|GS2B_20211025T183439_024220,2021-10-25,1
2022-05-06,sentinel-2a|2022-03-09T18:32:11.024000Z|R27|GS2A_20220309T183211_035059,2022-03-09,58
2022-05-06,sentinel-2a|2022-03-19T18:31:01.024000Z|R27|GS2A_20220319T183101_035202,2022-03-19,48
2022-05-06,sentinel-2a|2022-03-29T18:29:51.024000Z|R27|GS2A_20220329T182951_035345,2022-03-29,38
2022-05-06,sentinel-2a|2022-04-08T18:29:21.024000Z|R27|GS2A_20220408T182921_035488,2022-04-08,28
2022-05-06,sentinel-2a|2022-04-18T18:29:21.024000Z|R27|GS2A_20220418T182921_035631,2022-04-18,18
2022-05-06,sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,2022-04-28,8
2022-05-06,sentinel-2b|2022-03-14T18:30:39.024000Z|R27|GS2B_20220314T183039_026222,2022-03-14,53
2022-05-06,sentinel-2b|2022-03-24T18:29:19.024000Z|R27|GS2B_20220324T182919_026365,2022-03-24,43
2022-05-06,sentinel-2b|2022-04-03T18:29:19.024000Z|R27|GS2B_20220403T182919_026508,2022-04-03,33
2022-05-06,sentinel-2b|2022-04-13T18:29:19.024000Z|R27|GS2B_20220413T182919_026651,2022-04-13,23
2022-05-06,sentinel-2b|2022-04-23T18:29:09.024000Z|R27|GS2B_20220423T182909_026794,2022-04-23,13
2022-05-06,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,3
2022-05-14,sentinel-2a|2022-03-19T18:31:01.024000Z|R27|GS2A_20220319T183101_035202,2022-03-19,56
2022-05-14,sentinel-2a|2022-03-29T18:29:51.024000Z|R27|GS2A_20220329T182951_035345,2022-03-29,46
2022-05-14,sentinel-2a|2022-04-08T18:29:21.024000Z|R27|GS2A_20220408T182921_035488,2022-04-08,36
2022-05-14,sentinel-2a|2022-04-18T18:29:21.024000Z|R27|GS2A_20220418T182921_035631,2022-04-18,26
2022-05-14,sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,2022-04-28,16
2022-05-14,sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,2022-05-08,6
2022-05-14,sentinel-2b|2022-03-24T18:29:19.024000Z|R27|GS2B_20220324T182919_026365,2022-03-24,51
2022-05-14,sentinel-2b|2022-04-03T18:29:19.024000Z|R27|GS2B_20220403T182919_026508,2022-04-03,41
2022-05-14,sentinel-2b|2022-04-13T18:29:19.024000Z|R27|GS2B_20220413T182919_026651,2022-04-13,31
2022-05-14,sentinel-2b|2022-04-23T18:29:09.024000Z|R27|GS2B_20220423T182909_026794,2022-04-23,21
2022-05-14,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,11
2022-05-14,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,1
2022-05-22,sentinel-2a|2022-03-29T18:29:51.024000Z|R27|GS2A_20220329T182951_035345,2022-03-29,54
2022-05-22,sentinel-2a|2022-04-08T18:29:21.024000Z|R27|GS2A_20220408T182921_035488,2022-04-08,44
2022-05-22,sentinel-2a|2022-04-18T18:29:21.024000Z|R27|GS2A_20220418T182921_035631,2022-04-18,34
2022-05-22,sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,2022-04-28,24
2022-05-22,sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,2022-05-08,14
2022-05-22,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,4
2022-05-22,sentinel-2b|2022-03-24T18:29:19.024000Z|R27|GS2B_20220324T182919_026365,2022-03-24,59
2022-05-22,sentinel-2b|2022-04-03T18:29:19.024000Z|R27|GS2B_20220403T182919_026508,2022-04-03,49
2022-05-22,sentinel-2b|2022-04-13T18:29:19.024000Z|R27|GS2B_20220413T182919_026651,2022-04-13,39
2022-05-22,sentinel-2b|2022-04-23T18:29:09.024000Z|R27|GS2B_20220423T182909_026794,2022-04-23,29
2022-05-22,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,19
2022-05-22,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,9
2022-05-30,sentinel-2a|2022-04-08T18:29:21.024000Z|R27|GS2A_20220408T182921_035488,2022-04-08,52
2022-05-30,sentinel-2a|2022-04-18T18:29:21.024000Z|R27|GS2A_20220418T182921_035631,2022-04-18,42
2022-05-30,sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,2022-04-28,32
2022-05-30,sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,2022-05-08,22
2022-05-30,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,12
2022-05-30,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,2
2022-05-30,sentinel-2b|2022-04-03T18:29:19.024000Z|R27|GS2B_20220403T182919_026508,2022-04-03,57
2022-05-30,sentinel-2b|2022-04-13T18:29:19.024000Z|R27|GS2B_20220413T182919_026651,2022-04-13,47
2022-05-30,sentinel-2b|2022-04-23T18:29:09.024000Z|R27|GS2B_20220423T182909_026794,2022-04-23,37
2022-05-30,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,27
2022-05-30,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,17
2022-05-30,sentinel-2b|2022-05-23T18:29:19.024000Z|R27|GS2B_20220523T182919_027223,2022-05-23,7
2022-06-07,sentinel-2a|2022-04-08T18:29:21.024000Z|R27|GS2A_20220408T182921_035488,2022-04-08,60
2022-06-07,sentinel-2a|2022-04-18T18:29:21.024000Z|R27|GS2A_20220418T182921_035631,2022-04-18,50
2022-06-07,sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,2022-04-28,40
2022-06-07,sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,2022-05-08,30
2022-06-07,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,20
2022-06-07,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,10
2022-06-07,sentinel-2b|2022-04-13T18:29:19.024000Z|R27|GS2B_20220413T182919_026651,2022-04-13,55
2022-06-07,sentinel-2b|2022-04-23T18:29:09.024000Z|R27|GS2B_20220423T182909_026794,2022-04-23,45
2022-06-07,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,35
2022-06-07,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,25
2022-06-07,sentinel-2b|2022-05-23T18:29:19.024000Z|R27|GS2B_20220523T182919_027223,2022-05-23,15
2022-06-07,sentinel-2b|2022-06-02T18:29:19.024000Z|R27|GS2B_20220602T182919_027366,2022-06-02,5
2022-06-15,sentinel-2a|2022-04-18T18:29:21.024000Z|R27|GS2A_20220418T182921_035631,2022-04-18,58
2022-06-15,sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,2022-04-28,48
2022-06-15,sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,2022-05-08,38
2022-06-15,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,28
2022-06-15,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,18
2022-06-15,sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,2022-06-07,8
2022-06-15,sentinel-2b|2022-04-23T18:29:09.024000Z|R27|GS2B_20220423T182909_026794,2022-04-23,53
2022-06-15,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,43
2022-06-15,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,33
2022-06-15,sentinel-2b|2022-05-23T18:29:19.024000Z|R27|GS2B_20220523T182919_027223,2022-05-23,23
2022-06-15,sentinel-2b|2022-06-02T18:29:19.024000Z|R27|GS2B_20220602T182919_027366,2022-06-02,13
2022-06-15,sentinel-2b|2022-06-12T18:29:19.024000Z|R27|GS2B_20220612T182919_027509,2022-06-12,3
2022-06-23,sentinel-2a|2022-04-28T18:29:21.024000Z|R27|GS2A_20220428T182921_035774,2022-04-28,56
2022-06-23,sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,2022-05-08,46
2022-06-23,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,36
2022-06-23,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,26
2022-06-23,sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,2022-06-07,16
2022-06-23,sentinel-2a|2022-06-17T18:29:31.024000Z|R27|GS2A_20220617T182931_036489,2022-06-17,6
2022-06-23,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,51
2022-06-23,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,41
2022-06-23,sentinel-2b|2022-05-23T18:29:19.024000Z|R27|GS2B_20220523T182919_027223,2022-05-23,31
2022-06-23,sentinel-2b|2022-06-02T18:29:19.024000Z|R27|GS2B_20220602T182919_027366,2022-06-02,21
2022-06-23,sentinel-2b|2022-06-12T18:29:19.024000Z|R27|GS2B_20220612T182919_027509,2022-06-12,11
2022-06-23,sentinel-2b|2022-06-22T18:29:19.024000Z|R27|GS2B_20220622T182919_027652,2022-06-22,1
2022-07-01,sentinel-2a|2022-05-08T18:29:21.024000Z|R27|GS2A_20220508T182921_035917,2022-05-08,54
2022-07-01,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,44
2022-07-01,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,34
2022-07-01,sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,2022-06-07,24
2022-07-01,sentinel-2a|2022-06-17T18:29:31.024000Z|R27|GS2A_20220617T182931_036489,2022-06-17,14
2022-07-01,sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,2022-06-27,4
2022-07-01,sentinel-2b|2022-05-03T18:29:09.024000Z|R27|GS2B_20220503T182909_026937,2022-05-03,59
2022-07-01,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,49
2022-07-01,sentinel-2b|2022-05-23T18:29:19.024000Z|R27|GS2B_20220523T182919_027223,2022-05-23,39
2022-07-01,sentinel-2b|2022-06-02T18:29:19.024000Z|R27|GS2B_20220602T182919_027366,2022-06-02,29
2022-07-01,sentinel-2b|2022-06-12T18:29:19.024000Z|R27|GS2B_20220612T182919_027509,2022-06-12,19
2022-07-01,sentinel-2b|2022-06-22T18:29:19.024000Z|R27|GS2B_20220622T182919_027652,2022-06-22,9
2022-07-09,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,52
2022-07-09,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,42
2022-07-09,sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,2022-06-07,32
2022-07-09,sentinel-2a|2022-06-17T18:29:31.024000Z|R27|GS2A_20220617T182931_036489,2022-06-17,22
2022-07-09,sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,2022-06-27,12
2022-07-09,sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,2022-07-07,2
2022-07-09,sentinel-2b|2022-05-13T18:29:19.024000Z|R27|GS2B_20220513T182919_027080,2022-05-13,57
2022-07-09,sentinel-2b|2022-05-23T18:29:19.024000Z|R27|GS2B_20220523T182919_027223,2022-05-23,47
2022-07-09,sentinel-2b|2022-06-02T18:29:19.024000Z|R27|GS2B_20220602T182919_027366,2022-06-02,37
2022-07-09,sentinel-2b|2022-06-12T18:29:19.024000Z|R27|GS2B_20220612T182919_027509,2022-06-12,27
2022-07-09,sentinel-2b|2022-06-22T18:29:19.024000Z|R27|GS2B_20220622T182919_027652,2022-06-22,17
2022-07-09,sentinel-2b|2022-07-02T18:29:19.024000Z|R27|GS2B_20220702T182919_027795,2022-07-02,7
2022-07-17,sentinel-2a|2022-05-18T18:29:21.024000Z|R27|GS2A_20220518T182921_036060,2022-05-18,60
2022-07-17,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,50
2022-07-17,sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,2022-06-07,40
2022-07-17,sentinel-2a|2022-06-17T18:29:31.024000Z|R27|GS2A_20220617T182931_036489,2022-06-17,30
2022-07-17,sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,2022-06-27,20
2022-07-17,sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,2022-07-07,10
2022-07-17,sentinel-2b|2022-05-23T18:29:19.024000Z|R27|GS2B_20220523T182919_027223,2022-05-23,55
2022-07-17,sentinel-2b|2022-06-02T18:29:19.024000Z|R27|GS2B_20220602T182919_027366,2022-06-02,45
2022-07-17,sentinel-2b|2022-06-12T18:29:19.024000Z|R27|GS2B_20220612T182919_027509,2022-06-12,35
2022-07-17,sentinel-2b|2022-06-22T18:29:19.024000Z|R27|GS2B_20220622T182919_027652,2022-06-22,25
2022-07-17,sentinel-2b|2022-07-02T18:29:19.024000Z|R27|GS2B_20220702T182919_027795,2022-07-02,15
2022-07-17,sentinel-2b|2022-07-12T18:29:19.024000Z|R27|GS2B_20220712T182919_027938,2022-07-12,5
2022-07-25,sentinel-2a|2022-05-28T18:29:31.024000Z|R27|GS2A_20220528T182931_036203,2022-05-28,58
2022-07-25,sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,2022-06-07,48
2022-07-25,sentinel-2a|2022-06-17T18:29:31.024000Z|R27|GS2A_20220617T182931_036489,2022-06-17,38
2022-07-25,sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,2022-06-27,28
2022-07-25,sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,2022-07-07,18
2022-07-25,sentinel-2a|2022-07-17T18:29:31.024000Z|R27|GS2A_20220717T182931_036918,2022-07-17,8
2022-07-25,sentinel-2b|2022-06-02T18:29:19.024000Z|R27|GS2B_20220602T182919_027366,2022-06-02,53
2022-07-25,sentinel-2b|2022-06-12T18:29:19.024000Z|R27|GS2B_20220612T182919_027509,2022-06-12,43
2022-07-25,sentinel-2b|2022-06-22T18:29:19.024000Z|R27|GS2B_20220622T182919_027652,2022-06-22,33
2022-07-25,sentinel-2b|2022-07-02T18:29:19.024000Z|R27|GS2B_20220702T182919_027795,2022-07-02,23
2022-07-25,sentinel-2b|2022-07-12T18:29:19.024000Z|R27|GS2B_20220712T182919_027938,2022-07-12,13
2022-07-25,sentinel-2b|2022-07-22T18:29:19.024000Z|R27|GS2B_20220722T182919_028081,2022-07-22,3
2022-08-02,sentinel-2a|2022-06-07T18:29:31.024000Z|R27|GS2A_20220607T182931_036346,2022-06-07,56
2022-08-02,sentinel-2a|2022-06-17T18:29:31.024000Z|R27|GS2A_20220617T182931_036489,2022-06-17,46
2022-08-02,sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,2022-06-27,36
2022-08-02,sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,2022-07-07,26
2022-08-02,sentinel-2a|2022-07-17T18:29:31.024000Z|R27|GS2A_20220717T182931_036918,2022-07-17,16
2022-08-02,sentinel-2a|2022-07-27T18:29:31.024000Z|R27|GS2A_20220727T182931_037061,2022-07-27,6
2022-08-02,sentinel-2b|2022-06-12T18:29:19.024000Z|R27|GS2B_20220612T182919_027509,2022-06-12,51
2022-08-02,sentinel-2b|2022-06-22T18:29:19.024000Z|R27|GS2B_20220622T182919_027652,2022-06-22,41
2022-08-02,sentinel-2b|2022-07-02T18:29:19.024000Z|R27|GS2B_20220702T182919_027795,2022-07-02,31
2022-08-02,sentinel-2b|2022-07-12T18:29:19.024000Z|R27|GS2B_20220712T182919_027938,2022-07-12,21
2022-08-02,sentinel-2b|2022-07-22T18:29:19.024000Z|R27|GS2B_20220722T182919_028081,2022-07-22,11
2022-08-02,sentinel-2b|2022-08-01T18:29:19.024000Z|R27|GS2B_20220801T182919_028224,2022-08-01,1
2022-08-18,sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,2022-06-27,52
2022-08-18,sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,2022-07-07,42
2022-08-18,sentinel-2a|2022-07-17T18:29:31.024000Z|R27|GS2A_20220717T182931_036918,2022-07-17,32
2022-08-18,sentinel-2a|2022-07-27T18:29:31.024000Z|R27|GS2A_20220727T182931_037061,2022-07-27,22
2022-08-18,sentinel-2a|2022-08-06T18:29:31.024000Z|R27|GS2A_20220806T182931_037204,2022-08-06,12
2022-08-18,sentinel-2a|2022-08-16T18:29:31.024000Z|R27|GS2A_20220816T182931_037347,2022-08-16,2
2022-08-18,sentinel-2b|2022-06-22T18:29:19.024000Z|R27|GS2B_20220622T182919_027652,2022-06-22,57
2022-08-18,sentinel-2b|2022-07-02T18:29:19.024000Z|R27|GS2B_20220702T182919_027795,2022-07-02,47
2022-08-18,sentinel-2b|2022-07-12T18:29:19.024000Z|R27|GS2B_20220712T182919_027938,2022-07-12,37
2022-08-18,sentinel-2b|2022-07-22T18:29:19.024000Z|R27|GS2B_20220722T182919_028081,2022-07-22,27
2022-08-18,sentinel-2b|2022-08-01T18:29:19.024000Z|R27|GS2B_20220801T182919_028224,2022-08-01,17
2022-08-18,sentinel-2b|2022-08-11T18:29:19.024000Z|R27|GS2B_20220811T182919_028367,2022-08-11,7
2022-08-26,sentinel-2a|2022-06-27T18:29:31.024000Z|R27|GS2A_20220627T182931_036632,2022-06-27,60
2022-08-26,sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,2022-07-07,50
2022-08-26,sentinel-2a|2022-07-17T18:29:31.024000Z|R27|GS2A_20220717T182931_036918,2022-07-17,40
2022-08-26,sentinel-2a|2022-07-27T18:29:31.024000Z|R27|GS2A_20220727T182931_037061,2022-07-27,30
2022-08-26,sentinel-2a|2022-08-06T18:29:31.024000Z|R27|GS2A_20220806T182931_037204,2022-08-06,20
2022-08-26,sentinel-2a|2022-08-16T18:29:31.024000Z|R27|GS2A_20220816T182931_037347,2022-08-16,10
2022-08-26,sentinel-2b|2022-07-02T18:29:19.024000Z|R27|GS2B_20220702T182919_027795,2022-07-02,55
2022-08-26,sentinel-2b|2022-07-12T18:29:19.024000Z|R27|GS2B_20220712T182919_027938,2022-07-12,45
2022-08-26,sentinel-2b|2022-07-22T18:29:19.024000Z|R27|GS2B_20220722T182919_028081,2022-07-22,35
2022-08-26,sentinel-2b|2022-08-01T18:29:19.024000Z|R27|GS2B_20220801T182919_028224,2022-08-01,25
2022-08-26,sentinel-2b|2022-08-11T18:29:19.024000Z|R27|GS2B_20220811T182919_028367,2022-08-11,15
2022-08-26,sentinel-2b|2022-08-21T18:29:19.024000Z|R27|GS2B_20220821T182919_028510,2022-08-21,5
2022-09-03,sentinel-2a|2022-07-07T18:29:31.024000Z|R27|GS2A_20220707T182931_036775,2022-07-07,58
2022-09-03,sentinel-2a|2022-07-17T18:29:31.024000Z|R27|GS2A_20220717T182931_036918,2022-07-17,48
2022-09-03,sentinel-2a|2022-07-27T18:29:31.024000Z|R27|GS2A_20220727T182931_037061,2022-07-27,38
2022-09-03,sentinel-2a|2022-08-06T18:29:31.024000Z|R27|GS2A_20220806T182931_037204,2022-08-06,28
2022-09-03,sentinel-2a|2022-08-16T18:29:31.024000Z|R27|GS2A_20220816T182931_037347,2022-08-16,18
2022-09-03,sentinel-2a|2022-08-26T18:29:31.024000Z|R27|GS2A_20220826T182931_037490,2022-08-26,8
2022-09-03,sentinel-2b|2022-07-12T18:29:19.024000Z|R27|GS2B_20220712T182919_027938,2022-07-12,53
2022-09-03,sentinel-2b|2022-07-22T18:29:19.024000Z|R27|GS2B_20220722T182919_028081,2022-07-22,43
2022-09-03,sentinel-2b|2022-08-01T18:29:19.024000Z|R27|GS2B_20220801T182919_028224,2022-08-01,33
2022-09-03,sentinel-2b|2022-08-11T18:29:19.024000Z|R27|GS2B_20220811T182919_028367,2022-08-11,23
2022-09-03,sentinel-2b|2022-08-21T18:29:19.024000Z|R27|GS2B_20220821T182919_028510,2022-08-21,13
2022-09-03,sentinel-2b|2022-08-31T18:29:19.024000Z|R27|GS2B_20220831T182919_028653,2022-08-31,3
2022-09-11,sentinel-2a|2022-07-17T18:29:31.024000Z|R27|GS2A_20220717T182931_036918,2022-07-17,56
2022-09-11,sentinel-2a|2022-07-27T18:29:31.024000Z|R27|GS2A_20220727T182931_037061,2022-07-27,46
2022-09-11,sentinel-2a|2022-08-06T18:29:31.024000Z|R27|GS2A_20220806T182931_037204,2022-08-06,36
2022-09-11,sentinel-2a|2022-08-16T18:29:31.024000Z|R27|GS2A_20220816T182931_037347,2022-08-16,26
2022-09-11,sentinel-2a|2022-08-26T18:29:31.024000Z|R27|GS2A_20220826T182931_037490,2022-08-26,16
2022-09-11,sentinel-2a|2022-09-05T18:29:31.024000Z|R27|GS2A_20220905T182931_037633,2022-09-05,6
2022-09-11,sentinel-2b|2022-07-22T18:29:19.024000Z|R27|GS2B_20220722T182919_028081,2022-07-22,51
2022-09-11,sentinel-2b|2022-08-01T18:29:19.024000Z|R27|GS2B_20220801T182919_028224,2022-08-01,41
2022-09-11,sentinel-2b|2022-08-11T18:29:19.024000Z|R27|GS2B_20220811T182919_028367,2022-08-11,31
2022-09-11,sentinel-2b|2022-08-21T18:29:19.024000Z|R27|GS2B_20220821T182919_028510,2022-08-21,21
2022-09-11,sentinel-2b|2022-08-31T18:29:19.024000Z|R27|GS2B_20220831T182919_028653,2022-08-31,11
2022-09-11,sentinel-2b|2022-09-10T18:29:29.024000Z|R27|GS2B_20220910T182929_028796,2022-09-10,1
2022-09-27,sentinel-2a|2022-08-06T18:29:31.024000Z|R27|GS2A_20220806T182931_037204,2022-08-06,52
2022-09-27,sentinel-2a|2022-08-16T18:29:31.024000Z|R27|GS2A_20220816T182931_037347,2022-08-16,42
